stock1,stock2,stock3,stock4,stock5
-8.321678321678326051e-02,-1.156462585034013640e-01,-5.952380952380952051e-02,-2.350813743218806498e-02,-2.739726027397260122e-02
-1.487414187643020524e-01,-6.993006993006993001e-04,-1.898734177215194441e-02,-7.407407407407406996e-02,-4.694873239436658449e-03
-6.003584229390671045e-02,-1.042687193841847493e-01,-1.935483870967746531e-02,-1.360000000000000098e-01,-9.433924884299014005e-03
6.101048617731164025e-02,2.968749999999999861e-02,1.315789473684217566e-02,8.506944444444444753e-02,2.857142857142857054e-02
-5.390835579514773913e-03,1.669195751138088102e-01,-2.435064935064912024e-03,6.666666666666666574e-02,1.851855555555559363e-02
-3.523035230352308811e-02,-1.170351105331599549e-02,1.545972335231888921e-02,-7.000000000000000666e-02,-2.272734462809663375e-02
-4.775280898876399505e-02,-5.263157894736841813e-02,7.692307692307699674e-02,-2.956989247311828106e-02,-3.255806632774192744e-02
3.736479842674530344e-02,3.125000000000000000e-02,-5.357142857142858927e-02,2.077562326869806034e-02,7.211538184171607802e-02
-2.559241706161140273e-02,-8.619528619528619984e-02,1.886792452830182015e-02,-1.438263229308005438e-02,2.690582863118103421e-02
-1.945525291828821557e-03,-7.663964627855564260e-02,2.469135802469149196e-02,1.817180616740088003e-02,-2.183413024160250904e-02
4.191033138401571018e-02,-1.835594573024740619e-02,-1.807228915662654686e-02,-2.487831260140616410e-02,-4.910710889668242624e-02
-3.086997193638925385e-02,-4.065040650406504495e-03,3.834355828220858877e-03,1.164725457570715481e-02,0.000000000000000000e+00
-4.150579150579147836e-02,-9.877551020408163740e-02,8.403361344537771394e-03,3.070175438596491058e-02,-1.079811830985915044e-01
1.299093655589124430e-01,2.989130434782608786e-02,-1.212121212121207783e-02,-6.914893617021276168e-03,-5.263161883656345547e-02
-1.247771836007135170e-02,6.860158311345646021e-02,3.527607361963185778e-02,2.517407605784681424e-02,1.111106666666662052e-02
-6.407942238267143320e-02,-3.786008230452674733e-02,-1.629629629629621157e-02,2.507836990595611187e-02,5.494510131626823696e-02
3.278688524590155778e-02,8.554319931565440138e-04,5.421686746987942895e-02,6.116207951070336442e-03,1.302125000000042832e-03
-7.843137254901953737e-02,-2.820512820512820554e-02,5.142857142857134439e-02,-1.494427558257345467e-02,-1.690511243047650852e-02
4.660587639311037506e-02,1.503957783641161061e-01,-3.260869565217380112e-02,4.088454615582411827e-02,5.291009523809528381e-02
4.453049370764770865e-02,8.409785932721711849e-03,5.617977528089767789e-03,1.482213438735177765e-03,-3.517591818388272895e-02
2.965708989805364640e-02,6.444275966641395403e-02,7.262569832402239467e-02,2.392698569314257590e-02,0.000000000000000000e+00
2.124212421242123727e-01,4.843304843304842983e-02,4.687500000000011102e-02,1.276800770898578637e-02,-1.562500000000000000e-02
-6.681514476614688891e-02,-6.589673913043478382e-02,1.044776119402983927e-01,2.497621313035204571e-02,2.645498412698408380e-02
-4.534606205250598515e-02,-4.727272727272727182e-02,-4.504504504504409056e-03,3.179391970294732223e-02,-1.030923753852521808e-02
1.083333333333333370e-01,7.633587786259542207e-02,-5.429864253393677787e-02,-1.574448942869995441e-02,9.375000000000000000e-02
-3.458646616541349167e-02,-8.368794326241134340e-02,-1.435406698564579801e-02,-2.148080438756855629e-02,6.190480000000003757e-02
-5.062305295950155631e-02,6.424148606811146134e-02,2.912621359223290310e-02,-2.335357309668379192e-03,1.345291431559051711e-02
0.000000000000000000e+00,-4.872727272727273018e-02,9.433962264150910076e-03,-2.200374531835206163e-02,-2.654867162659569485e-02
-2.296964725184586636e-02,2.599388379204892879e-02,-9.345794392523332564e-03,-1.842987075155576998e-02,-2.272734462809663375e-02
-8.396305625524768876e-03,1.713859910581222099e-02,-8.490566037735852722e-02,6.583760058522311262e-03,-1.860457743644931827e-02
-4.233700254022015191e-02,-3.663003663003663000e-03,0.000000000000000000e+00,-2.882751937984496041e-02,5.213266153051516333e-02
-2.387267904509273939e-02,3.529411764705882304e-02,8.762886597938158995e-02,4.564729358942379300e-02,-5.855859459459462901e-02
-6.159420289855082470e-02,2.840909090909090814e-02,2.369668246445497464e-02,2.051526717557251855e-02,4.784727455874774465e-03
-1.833976833976825802e-02,-4.834254143646408985e-02,-2.777777777777784216e-02,2.501168770453483098e-02,1.428571428571428527e-02
1.081612586037364737e-01,2.685050798258345472e-02,9.523809523809489974e-03,2.485746864310148241e-02,6.103290140845074596e-02
-2.839396628216506527e-02,3.038869257950529978e-02,-4.716981132075370904e-03,-1.001335113484646232e-02,-7.964601487978707761e-02
1.004566210045656875e-02,-8.093278463648834187e-02,0.000000000000000000e+00,-7.866936390200045606e-03,-9.615461168636187106e-03
-4.882459312839051990e-02,4.925373134328358410e-02,2.369668246445497464e-02,4.825555052106932780e-02,-3.883491412951119159e-02
4.752851711026615661e-02,1.379800853485063927e-01,0.000000000000000000e+00,8.407175275556516558e-02,5.050545454545495895e-03
-4.355716878402900866e-02,-5.062500000000000333e-02,2.777777777777767562e-02,-4.784688995215310818e-03,1.256280552511333803e-01
-5.028462998102477266e-02,6.583278472679394023e-04,-4.504504504504409056e-03,-3.866185897435897578e-02,6.250007366071699821e-02
-9.990009990009421879e-04,7.565789473684210453e-02,-4.072398190045257993e-02,-1.667013961241925425e-03,5.882349382105899610e-02
2.299999999999997186e-02,-1.100917431192660612e-01,-5.660377358490562699e-02,-9.204758922980588176e-02,-3.968285714285747084e-03
-6.842619745845580047e-03,3.367697594501718045e-02,-9.999999999999963779e-03,-1.609195402298850552e-02,4.581676640053441996e-02
1.968503937007902178e-03,2.194148936170212810e-02,-1.515151515151518663e-02,3.247663551401869242e-02,9.333330285714282193e-02
8.153241650294693055e-02,3.122966818477553724e-02,-1.538461538461542190e-02,-6.200497850192351196e-02,3.832758294989783987e-02
-2.815622161671203078e-02,-6.309148264984226762e-02,-5.208333333333333565e-02,-5.910735826296743128e-02,-1.342282111616587836e-01
-2.336448598130841034e-02,-6.531986531986531952e-02,-1.098901098901098883e-01,-7.487179487179487780e-02,3.100772093023252546e-02
4.784688995215310818e-03,-1.354466858789625250e-01,0.000000000000000000e+00,7.012195121951220189e-02,-9.398490508225272599e-02
-2.857142857142857054e-02,2.999999999999999889e-02,0.000000000000000000e+00,5.646205646205645912e-02,-8.298821301284007787e-03
3.921568627450980338e-02,5.097087378640776517e-02,1.172839506172840829e-01,-1.936749203236087444e-02,-4.184033612854612741e-03
-2.169811320754714418e-02,-7.698229407236335808e-03,-1.049723756906078415e-01,-7.749999999999999944e-03,8.403327448627614590e-03
-9.643201542912246960e-03,-3.180760279286268255e-02,8.641975308641988707e-02,-2.771478961955152216e-03,-2.083329999999996435e-02
1.275559883154819274e-01,-1.021635897435894252e-02,-1.136363636363652355e-02,-8.590197069226881976e-03,5.531907896786106976e-02
-2.331606217616582696e-02,5.889497425000570635e-02,-4.597701149425271333e-02,1.325178389398572881e-02,0.000000000000000000e+00
-4.244031830238724490e-02,-4.587155963302752548e-03,-6.024096385542253990e-03,-2.816901408450704289e-02,-5.645158246618004610e-02
7.386888273314866360e-02,-6.144393241167434710e-02,-5.454545454545456362e-02,1.293995859213250502e-03,-8.547005128205124869e-02
6.018916595012922637e-03,0.000000000000000000e+00,3.846153846153844286e-02,2.662186611527526600e-02,2.803738212944365676e-02
-4.102564102564100479e-02,-1.718494271685760966e-02,5.555555555555569125e-02,-5.790533736153071279e-03,-1.818185388429625904e-02
-5.525846702317292747e-02,-6.078268109908409322e-02,8.187134502923967827e-02,3.494555583692073725e-02,-4.629666666666704643e-03
3.773584905660431164e-03,-2.659574468085106318e-03,-1.621621621621625528e-02,5.113775385368241055e-02,-7.441853300161975493e-02
7.518796992481175702e-03,1.244444444444444374e-02,-3.296703296703284991e-02,4.329608938547486324e-02,6.532655013762604657e-02
-5.130597014925372679e-02,-6.321334503950834516e-02,-8.522727272727272096e-02,-1.784917447568050083e-02,-2.358486881452331527e-02
5.899705014749206076e-03,-1.312089971883786260e-02,-6.211180124223690535e-03,-2.317128577919127727e-02,-7.246376811594203160e-02
-2.737047898338218141e-02,3.608736942070275150e-02,2.499999999999991118e-02,-7.209302325581395075e-03,5.208337500000004283e-02
3.316582914572861751e-02,3.849679193400550037e-02,-3.658536585365840949e-02,1.733427032091824915e-02,2.475243466326987329e-02
5.155642023346301145e-02,-1.006178287731685772e-01,3.797468354430365983e-02,2.072300253281142163e-03,-6.280197101449279395e-02
-6.197964847363542085e-02,-6.182531894013738871e-02,4.878048780487809905e-02,-6.204044117647058466e-03,-1.237113453076843506e-01
0.000000000000000000e+00,5.230125523012552069e-03,-5.813953488371968910e-03,-2.705202312138728360e-02,-3.529411930795856023e-02
-1.104536489151873996e-01,-7.075962539021851683e-02,-1.169590643274870390e-02,-2.210076045627376584e-02,-7.317073527662124044e-02
-1.485587583148559321e-01,4.815229563269876611e-02,-6.508875739644957858e-02,-2.187120291616038992e-02,1.315800069252646108e-02
-2.343749999999996531e-02,-3.178420512820508831e-02,-1.265822784810133328e-02,-7.180124223602483979e-02,-1.428571873840422668e-01
3.999999999999961919e-03,-9.103430781412338510e-03,-7.692307692307688571e-02,5.567451820128479362e-02,6.060599999999993770e-02
1.673306772908367823e-01,6.458797327394209808e-02,6.944444444444444753e-02,-8.620689655172413673e-03,1.285714359183677824e-01
-2.730375426621166682e-02,-6.276150627615062483e-02,4.545454545454552520e-02,-2.966751918158567689e-02,1.265832975485224436e-02
-1.988304093567254752e-02,5.022321428571428770e-02,5.590062111801232664e-02,-2.635740643120716969e-03,0.000000000000000000e+00
-4.892601431980900251e-02,-9.458023379383634355e-02,5.882352941176470507e-02,-3.039112050739957785e-02,-3.749999812500009327e-02
5.269761606022588252e-02,-1.173708920187793454e-03,5.555555555555634697e-03,4.279095121286453918e-02,-6.493511350986427844e-02
2.026221692491047069e-02,1.339600470035252622e-01,-5.524861878453116507e-03,-1.515943544171458393e-02,0.000000000000000000e+00
-1.168224299065420690e-02,1.968911917098445721e-02,-1.111111111111107164e-02,-9.288747346072186509e-03,6.944500000000057398e-03
4.373522458628845144e-02,-1.626016260162601798e-02,-6.741573033707860818e-02,-3.294937047950709935e-02,6.206896209274691267e-02
8.607021517553803402e-02,-2.685950413223140570e-02,2.409638554216858575e-02,2.548476454293628971e-02,8.441547613426086949e-02
-6.360792492179362378e-02,-9.341825902335455789e-02,3.529411764705890631e-02,-2.728254997298757561e-02,4.790428971996607554e-02
-3.563474387527842957e-02,1.288056206088993016e-02,-4.545454545454549050e-02,-2.360455429047486967e-02,-3.428571271836741707e-02
1.732101616628175730e-02,2.080924855491329481e-02,2.380952380952372494e-02,0.000000000000000000e+00,5.917064808659556509e-03
6.242905788876277479e-02,1.177802944507361227e-01,2.325581395348849667e-02,8.248009101251422767e-03,4.117651958477744345e-02
-4.246803418803406921e-02,-5.167173252279635282e-02,-2.272727272727284586e-02,-1.015514809590973254e-02,-5.649762711864452815e-03
4.184190052703089246e-03,-4.273504273504273934e-03,-4.069767441860461243e-02,-2.707324023938444124e-02,1.136372778926044748e-02
-5.222222222222225319e-02,-2.038626609442059992e-02,-7.878787878787883725e-02,-9.958992384299940673e-03,-3.932588587299393895e-02
2.930832356389214549e-02,1.533406352683460983e-01,2.631578947368423682e-02,2.928994082840236796e-02,6.432743859649117657e-02
-2.050113895216397822e-02,-8.262108262108261436e-02,6.410256410256422177e-02,7.185972980741592644e-03,-5.494417823930363744e-03
4.302325581395351900e-02,6.004140786749482400e-02,-3.614457831325309373e-02,-1.541095890410958819e-02,3.867394304203557176e-02
5.351170568561869345e-02,4.003906250000000000e-02,5.000000000000004441e-02,8.115942028985507692e-03,2.127663920326128624e-02
3.280423280423274551e-02,-3.474178403755868311e-02,-2.380952380952393657e-02,-1.782633697527314515e-02,7.291662499999995717e-02
-9.221311475409836589e-02,-3.891050583657587603e-02,-8.536585365853650853e-02,-2.576112412177986033e-02,-1.941739881232608725e-02
-4.966139954853263788e-02,-6.174089068825910909e-02,2.666666666666668919e-02,-4.116586538461538408e-02,-9.901068914809232555e-03
-1.425178147268411910e-02,-9.708737864077669061e-03,-1.298701298701305552e-02,-4.826073331244123965e-02,-1.500000060000002480e-02
-9.999999999999996392e-02,-5.337690631808279101e-02,1.973684210526320537e-02,-1.778070464273954696e-02,-4.568528104305710075e-02
4.016064257028112428e-02,1.369390103567318662e-01,-5.161290322580650014e-02,-2.111967817633255209e-02,-3.191489497510191509e-02
-6.306306306306314058e-02,-4.453441295546558404e-02,0.000000000000000000e+00,8.219178082191780019e-03,-9.340655355633198376e-02
2.197802197802209770e-02,-1.694915254237288130e-02,-2.040816326530605143e-02,-1.426630434782608613e-02,-4.242429090909095868e-02
1.129032258064514849e-01,8.189655172413792816e-02,9.722222222222223764e-02,6.822880771881460749e-02,1.265832975485224436e-02
-6.642512077294686346e-02,1.792828685258964286e-02,-4.430379746835449301e-02,-5.870967741935483736e-02,-9.374999531250022278e-02
3.880983182406209930e-02,8.121330724070449647e-02,-5.298013245033105639e-02,3.427004797806716945e-03,1.310343651843107748e-01
1.531755915317558892e-01,3.800904977375565291e-02,7.692307692307689959e-02,8.196721311475409222e-02,1.402440068411711649e-01
-5.831533477321805548e-02,-1.046207497820401087e-02,1.298701298701297469e-01,2.651515151515151589e-02,-5.347636134860530091e-03
-7.224770642201831794e-02,-4.052863436123348151e-02,3.448275862068973796e-02,7.995079950799507257e-03,-3.763445161290326912e-02
2.472187886279357191e-02,5.417814508723599320e-02,0.000000000000000000e+00,1.647345942647955933e-02,-2.793291744951581848e-02
1.206272617611511616e-03,-4.529616724738676214e-02,-1.666666666666670460e-02,-2.160864345738295472e-02,1.149420689655167652e-02
6.024096385542168988e-03,-2.372262773722627616e-02,-1.694915254237292293e-02,-1.288343558282208610e-02,2.840918310950841727e-02
-7.185628742514969802e-02,-5.140186915887850344e-02,-1.149425287356317833e-02,-1.553760099440646379e-02,8.839769775037790989e-02
